id,Species,Order,Family,Genus,Total_suitable_pixels_threshold_1,Total_suitable_pixels_threshold_2,Total_suitable_pixels_threshold_3,Total_range_pixels,Model_prevalence_threshold_1,Model_prevalence_threshold_2,Model_prevalence_threshold_3,Minimum_elevation,Maximum_elevation,Model_prevalence_habitat,Model_prevalence_elevation,Percentage_clip_elevation_only,Percentage_clip_habitat_only,Percentage_clip_habitat_and_elevation,Number_of_habitats,Logistic_upper_outlier,Logistic_lower_outlier,Logistic_lower_outlier_issue,Estimated_model_prevalence_logistic,Red_List_Category,NULL_Issue,Point_Prevalence_T1,Point_Prevalence_T2,Point_Prevalence_T3,Number_of_Validation_Points,Realms
307,Arvicanthis_ansorgei,RODENTIA,MURIDAE,Arvicanthis,0,23130564,31420465,54690365,0.997452275,0.997452275,0.574515548,0,9000,0.574559826,0.999998566,0.000143384,42.54401737,0,5,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Afrotropic
308,Arvicanthis_blicki,RODENTIA,MURIDAE,Arvicanthis,48205,0,610298,1488458,0.442406168,0.410020303,0.410020303,2500,4050,0.578621554,0.621401627,16.86012515,21.1381324,20.99971216,1,No,No,NA,0.117028688,NT,NA,NA,NA,NA,NA,Afrotropic
309,Arvicanthis_nairobae,RODENTIA,MURIDAE,Arvicanthis,1293089,3026431,6694515,12493118,0.881608178,0.778104073,0.535856221,0,2000,0.552583212,0.900209906,1.672699129,36.4353685,8.30631027,1,No,No,NA,0.578967282,LC,NA,NA,NA,NA,NA,Afrotropic
310,Arvicanthis_neumanni,RODENTIA,MURIDAE,Arvicanthis,83200,10445251,51118371,101292002,0.608605031,0.607783643,0.504663448,0,1000,0.735119992,0.611202469,23.04565435,10.65390213,15.83409871,2,No,No,NA,0.618342035,LC,NA,NA,NA,NA,NA,Afrotropic
311,Arvicanthis_niloticus,RODENTIA,MURIDAE,Arvicanthis,0,33853664,477402602,520378952,0.982469149,0.982469149,0.917413358,0,9000,0.917419354,0.998889043,0.000599594,8.14756841,0.110496154,6,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Multi
312,Arvicanthis_rufinus,RODENTIA,MURIDAE,Arvicanthis,0,26462454,57244369,95985542,0.872077411,0.872077411,0.596385329,0,9000,0.596421706,0.999995343,0.000465696,40.35782938,0,4,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Multi
313,Arvicola_amphibius,RODENTIA,CRICETIDAE,Arvicola,44080714,42633582,2196826024,2307851392,0.989465928,0.970365602,0.951892324,0,3210,0.95207962,0.989468674,0.018729643,3.757635038,1.034402961,5,No,No,NA,0.87271957,LC,NA,1,1,1,218,Palearctic
314,Arvicola_sapidus,RODENTIA,CRICETIDAE,Arvicola,12610778,43259134,32069724,100308362,0.876692972,0.750972865,0.319711372,0,2300,0.319658465,0.99619237,0.005290678,67.64809983,0.386053691,1,No,No,NA,0.602841763,VU,NA,NA,NA,NA,NA,Palearctic
315,Arvicola_scherman,RODENTIA,CRICETIDAE,Arvicola,898286,71155,34609006,100347939,0.354550849,0.345599136,0.344890053,0,2400,0.358217866,0.978803128,1.332781334,63.39130747,0.7869059,1,No,No,NA,0.606988699,LC,NA,NA,NA,NA,NA,Palearctic
316,Asellia_italosomalica,CHIROPTERA,HIPPOSIDERIDAE,Asellia,16692,21939,21900768,21941412,0.999908256,0.999147502,0.998147612,0,9000,0.998145553,0.999987492,0.000205987,0.18398793,0.001456819,4,No,No,NA,NA,DD,NA,NA,NA,NA,NA,Multi
317,Asellia_patrizii,CHIROPTERA,HIPPOSIDERIDAE,Asellia,59796,0,17603224,19164890,0.921634301,0.918514221,0.918514221,0,9000,0.918470604,0.962311779,0.004361637,4.37975583,3.773183753,2,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Afrotropic
318,Asellia_tridens,CHIROPTERA,HIPPOSIDERIDAE,Asellia,2762814,2704492,1457637851,1469926365,0.99535949,0.993479931,0.991640048,0,9000,0.99164096,0.996772163,9.12426451034065e-05,0.513211505,0.322692462,4,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Multi
319,Aselliscus_stoliczkanus,CHIROPTERA,HIPPOSIDERIDAE,Aselliscus,1589210,72066900,24679495,121185336,0.811448053,0.798334173,0.203650836,0,9000,0.203656306,0.999997541,0.000245894,79.63436945,0,2,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Multi
320,Aselliscus_tricuspidatus,CHIROPTERA,HIPPOSIDERIDAE,Aselliscus,0,0,18095525,22417255,0.80721413,0.80721413,0.80721413,0,600,0.973932255,0.831985824,16.67181245,2.477169367,0.129605147,1,No,No,NA,0.574039436,LC,NA,NA,NA,NA,NA,Australasia
321,Atelerix_albiventris,EULIPOTYPHLA,ERINACEIDAE,Atelerix,0,64107519,516786153,587763009,0.988312744,0.988312744,0.87924239,0,9000,0.879254676,0.999935559,0.001228515,12.06931683,0.005215623,3,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Multi
322,Atelerix_algirus,EULIPOTYPHLA,ERINACEIDAE,Atelerix,0,5417814,38609233,65733673,0.669779201,0.669779201,0.587358522,0,900,0.870327773,0.669795542,28.29692509,8.243702036,4.723520705,5,No,No,NA,0.786040544,LC,NA,NA,NA,NA,NA,Palearctic
323,Atelerix_frontalis,EULIPOTYPHLA,ERINACEIDAE,Atelerix,0,1297195,92867510,94170070,0.999943029,0.999943029,0.986168004,0,9000,0.986159929,1,0,1.38400709,0,5,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Afrotropic
324,Atelerix_sclateri,EULIPOTYPHLA,ERINACEIDAE,Atelerix,5126,10693231,15001400,25721683,0.999147567,0.99894828,0.583220002,0,9000,0.583253486,0.999989025,0.001097488,41.6746514,0,2,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Afrotropic
325,Ateles_belzebuth,PRIMATES,ATELIDAE,Ateles,0,41,64107246,67418605,0.950884211,0.950884211,0.950883603,0,9000,0.950837661,1,0,4.916233894,0,1,No,No,NA,NA,EN,NA,NA,NA,NA,NA,NA
326,Ateles_chamek,PRIMATES,ATELIDAE,Ateles,0,399,192066075,218072990,0.880743984,0.880743984,0.880742154,0,9000,0.880736229,0.999999892,0.000592503,11.92577379,0.000603291,1,No,No,NA,NA,EN,NA,NA,NA,NA,NA,Neotropic
327,Ateles_fusciceps,PRIMATES,ATELIDAE,Ateles,0,38198,14380587,17466984,0.825487961,0.825487961,0.823301092,0,9000,0.823263528,0.999990122,0.003756364,17.66890302,0.00474415,1,No,No,NA,NA,CR,NA,NA,NA,NA,NA,Neotropic
328,Ateles_geoffroyi,PRIMATES,ATELIDAE,Ateles,0,540049,48575158,76772834,0.639747218,0.639747218,0.632712842,0,9000,0.632702467,0.999862607,0.001037536,36.7149765,0.014776824,1,No,No,NA,NA,EN,NA,NA,NA,NA,NA,NA
329,Ateles_hybridus,PRIMATES,ATELIDAE,Ateles,0,17010,9478347,13822874,0.686930735,0.686930735,0.685700166,0,9000,0.685813318,0.999998865,0.000113457,31.41866824,0,1,No,No,NA,NA,CR,NA,NA,NA,NA,NA,NA
330,Ateles_marginatus,PRIMATES,ATELIDAE,Ateles,0,15,38581304,43622931,0.884427482,0.884427482,0.884427138,0,9000,0.884437862,0.999998742,0.000125838,11.55621375,0,1,No,No,NA,NA,EN,NA,NA,NA,NA,NA,Neotropic
331,Ateles_paniscus,PRIMATES,ATELIDAE,Ateles,0,0,70311356,75798573,0.927607912,0.927607912,0.927607912,0,9000,0.927574734,0.999998034,0.003317757,7.239012277,0.003514324,1,No,No,NA,NA,VU,NA,NA,NA,NA,NA,Neotropic
332,Atelocynus_microtis,CARNIVORA,PROCAVIIDAE,Atelocynus,5862571,0,230818494,236954291,0.998846925,0.974105567,0.974105567,0,2000,0.974315358,0.999784158,0.020979045,2.567859061,0.000605189,3,No,No,NA,0.719723517,NT,NA,NA,NA,NA,NA,Neotropic
333,Atherurus_africanus,RODENTIA,HYSTRICIDAE,Atherurus,29151832,10537202,245995917,292824038,0.975619874,0.876065779,0.840081022,0,3000,0.840518814,0.999390239,0.04377924,15.93092173,0.017196866,3,No,No,NA,0.819714439,LC,NA,NA,NA,NA,NA,Afrotropic
334,Atherurus_macrourus,RODENTIA,HYSTRICIDAE,Atherurus,3586650,65138519,163937056,234648651,0.991534467,0.976249273,0.698649045,0,9000,0.698637562,0.999982521,0.001148318,30.13334762,0.002896169,2,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Multi
335,Atilax_paludinosus,CARNIVORA,HERPESTIDAE,Atilax,153488618,117946979,913533115,1185056528,0.999925897,0.870405816,0.770877248,0,3950,0.770918613,0.999926051,0.004136534,22.90488034,0.00325833,4,No,No,NA,0.89479465,LC,NA,1,1,1,20,Afrotropic
336,Atlantoxerus_getulus,RODENTIA,SCIURIDAE,Atlantoxerus,38749,0,28835888,29088550,0.992646144,0.991314039,0.991314039,0,9000,0.991319051,0.998593794,0.000501191,0.727975477,0.140119394,3,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Palearctic
337,Atopogale_cubana,EULIPOTYPHLA,SOLENODONTIDAE,Atopogale,0,0,55503,170158,0.326185075,0.326185075,0.326185075,400,800,0.967946947,0.327622732,64.17618716,0.143765683,3.06153965,1,No,No,NA,0.326190355,EN,NA,NA,NA,NA,NA,Neotropic
338,Auliscomys_boliviensis,RODENTIA,CRICETIDAE,Auliscomys,23381,9567,13986745,18186056,0.770903433,0.769617777,0.769091715,3450,4770,0.961976324,0.771022718,19.28846088,0.193100286,3.609267322,4,Yes,No,NA,0.186924836,LC,NA,NA,NA,NA,NA,Neotropic
339,Auliscomys_pictus,RODENTIA,CRICETIDAE,Auliscomys,803833,23705,21876556,26362620,0.861222974,0.830731581,0.829832391,3400,4900,0.937019374,0.866203576,10.71869829,3.637118499,2.660944066,4,Yes,No,NA,0.198824558,LC,NA,NA,NA,NA,NA,Neotropic
340,Auliscomys_sublimis,RODENTIA,CRICETIDAE,Auliscomys,37766,0,24368864,34300073,0.711562042,0.710460995,0.710460995,3800,5500,0.958557906,0.733806502,24.80969104,2.334550698,1.809658737,3,Yes,No,NA,0.113219858,LC,NA,NA,NA,NA,NA,Neotropic
341,Austronomus_australis,CHIROPTERA,MOLOSSIDAE,Austronomus,0,1722884,558031452,560856503,0.99803485,0.99803485,0.99496297,0,9000,0.994961985,0.99803544,9.84752690986745e-05,0.307247015,0.196554454,7,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Australasia
342,Austronomus_kuboriensis,CHIROPTERA,MOLOSSIDAE,Austronomus,31298,628,3751673,8954178,0.422551238,0.419055887,0.418985752,1900,2800,0.988394323,0.422692023,56.94085716,0.370627139,0.789940534,2,No,No,NA,0.176681014,LC,NA,NA,NA,NA,NA,Australasia
343,Avahi_betsileo,PRIMATES,INDRIIDAE,Avahi,0,204,61613,85418,0.723699923,0.723699923,0.721311667,0,9000,0.720814978,1,0,27.9185022,0,1,No,No,NA,NA,EN,NA,NA,NA,NA,NA,Afrotropic
344,Avahi_cleesei,PRIMATES,INDRIIDAE,Avahi,0,2174,31677,40030,0.845640769,0.845640769,0.791331501,0,9000,0.790537888,1,0,20.94621123,0,1,No,No,NA,NA,CR,NA,NA,NA,NA,NA,Afrotropic
345,Avahi_laniger,PRIMATES,INDRIIDAE,Avahi,0,1451,3556955,4474940,0.795185187,0.795185187,0.794860937,0,9000,0.794734093,1,0,20.52659069,0,1,No,No,NA,NA,VU,NA,NA,NA,NA,NA,Afrotropic
346,Avahi_meridionalis,PRIMATES,INDRIIDAE,Avahi,0,449,126690,141259,0.900041767,0.900041767,0.896863209,0,9000,0.896121192,1,0,10.38788081,0,1,No,No,NA,NA,EN,NA,NA,NA,NA,NA,Afrotropic
347,Avahi_mooreorum,PRIMATES,INDRIIDAE,Avahi,0,0,170293,170312,0.99988844,0.99988844,0.99988844,0,9000,0.999815923,1,0,0.018407731,0,1,No,No,NA,NA,EN,NA,NA,NA,NA,NA,Afrotropic
348,Avahi_occidentalis,PRIMATES,INDRIIDAE,Avahi,0,9551,163699,261774,0.661830434,0.661830434,0.625344763,0,9000,0.624475734,1,0,37.5524266,0,1,No,No,NA,NA,EN,NA,NA,NA,NA,NA,Afrotropic
349,Avahi_peyrierasi,PRIMATES,INDRIIDAE,Avahi,0,759,327030,388489,0.84375362,0.84375362,0.841799897,0,9000,0.843285691,1,0,15.67143088,0,1,No,No,NA,NA,VU,NA,NA,NA,NA,NA,Afrotropic
350,Avahi_ramanantsoavanai,PRIMATES,INDRIIDAE,Avahi,0,1262,411432,523924,0.787698216,0.787698216,0.785289469,0,9000,0.783693993,1,0,21.6306007,0,1,No,No,NA,NA,VU,NA,NA,NA,NA,NA,Afrotropic
351,Avahi_unicolor,PRIMATES,INDRIIDAE,Avahi,0,1198,44817,49235,0.93459937,0.93459937,0.910267086,0,1600,0.925394548,0.989956958,1.004304161,7.460545194,0,1,No,No,NA,0.559628542,CR,NA,NA,NA,NA,NA,Afrotropic
352,Axis_axis,CETARTIODACTYLA,CERVIDAE,Axis,1786415,3464334,201046883,208104309,0.991318407,0.982734178,0.966087074,0,1100,0.974709024,0.991316678,0.862194937,2.522960355,0.006137293,5,No,No,NA,0.92683785,LC,NA,0.965517241,0.965517241,0.965517241,29,Indomalayan
353,Axis_calamianensis,CETARTIODACTYLA,CERVIDAE,Axis,400,7,107298,108453,0.993103003,0.98941477,0.989350225,0,9000,0.989792964,1,0,1.020703634,0,3,No,No,NA,NA,EN,NA,NA,NA,NA,NA,Indomalayan
354,Axis_kuhlii,CETARTIODACTYLA,CERVIDAE,Axis,1,75,4603,4759,0.983189746,0.982979618,0.967220004,0,500,0.975328947,0.981907895,0.810894317,1.468789053,0.99831621,5,No,No,NA,0.919456799,CR,NA,NA,NA,NA,NA,Indomalayan
355,Axis_porcinus,CETARTIODACTYLA,CERVIDAE,Axis,0,2926197,17799803,25224019,0.821677148,0.821677148,0.705668791,0,9000,0.705459841,0.999995025,0.020895018,29.43262341,0.021392478,5,No,No,NA,NA,EN,NA,NA,NA,NA,NA,NA
356,Babyrousa_babyrussa,CETARTIODACTYLA,SUIDAE,Babyrousa,41805,0,981078,1024147,0.998765802,0.957946467,0.957946467,0,9000,0.958041851,1,0,4.1958149,0,2,No,No,NA,NA,VU,NA,NA,NA,NA,NA,Australasia
357,Babyrousa_celebensis,CETARTIODACTYLA,SUIDAE,Babyrousa,268220,0,9593046,9888511,0.997244782,0.970120375,0.970120375,0,9000,0.970182404,0.999203077,0.006202906,2.908270226,0.073489363,2,No,No,NA,NA,VU,NA,NA,NA,NA,NA,NA
358,Babyrousa_togeanensis,CETARTIODACTYLA,SUIDAE,Babyrousa,61,0,36400,37015,0.985033095,0.983385114,0.983385114,0,9000,0.984288747,0.986199575,0.09036332,0.281446123,1.289679143,4,No,No,NA,NA,EN,NA,NA,NA,NA,NA,Australasia
359,Baeodon_alleni,CHIROPTERA,VESPERTILIONIDAE,Baeodon,0,534945,6188520,22904874,0.293538615,0.293538615,0.270183543,125,1990,0.431429335,0.633593523,16.12457928,36.34099803,20.51606843,1,No,No,NA,0.385840568,LC,NA,NA,NA,NA,NA,Multi
360,Baeodon_gracilis,CHIROPTERA,VESPERTILIONIDAE,Baeodon,0,414393,6494242,15532485,0.444786201,0.444786201,0.418107083,600,2000,0.607829843,0.699721066,18.97227593,28.16139826,11.05561747,1,No,No,NA,0.273851556,LC,NA,NA,NA,NA,NA,Multi
361,Baiomys_musculus,RODENTIA,CRICETIDAE,Baiomys,442180,1280636,31736170,38642360,0.865862903,0.85442002,0.82127929,0,2000,0.952773149,0.865842031,13.14938591,4.456274085,0.266410966,4,No,No,NA,0.758015822,LC,NA,NA,NA,NA,NA,Multi
362,Baiomys_taylori,RODENTIA,CRICETIDAE,Baiomys,1816351,913613,110293647,118122320,0.956835347,0.941458481,0.933724016,0,2438,0.969308955,0.963846834,3.558493864,3.012281764,0.05682278,4,No,No,NA,0.771681971,LC,NA,NA,NA,NA,NA,Multi
363,Baiyankamys_habbema,RODENTIA,MURIDAE,Baiyankamys,0,8085,9804,64386,0.277839903,0.277839903,0.152269127,2800,3600,0.347704299,0.390695409,19.54351723,23.84262818,41.38694191,3,No,No,NA,0.179042171,DD,NA,NA,NA,NA,NA,Australasia
364,Baiyankamys_shawmayeri,RODENTIA,MURIDAE,Baiyankamys,186455,0,3184534,5436126,0.620108695,0.585809453,0.585809453,1500,3600,0.939368589,0.626309671,35.35591354,4.050021752,2.013119381,2,No,No,NA,0.387249899,LC,NA,NA,NA,NA,NA,Australasia
365,Balantiopteryx_infusca,CHIROPTERA,EMBALLONURIDAE,Balantiopteryx,0,0,39542,234844,0.168375603,0.168375603,0.168375603,150,1200,0.747386003,0.325137799,57.90104005,15.6762196,9.585180096,1,No,No,NA,0.538057189,VU,NA,NA,NA,NA,NA,Neotropic
366,Balantiopteryx_io,CHIROPTERA,EMBALLONURIDAE,Balantiopteryx,0,2546,5305249,14701692,0.361032934,0.361032934,0.360859757,0,500,0.63081351,0.658110618,26.99537532,29.72508611,7.193562888,1,No,No,NA,0.54804336,VU,NA,NA,NA,NA,NA,Neotropic
367,Balantiopteryx_plicata,CHIROPTERA,EMBALLONURIDAE,Balantiopteryx,0,21003393,32457569,71113607,0.751768392,0.751768392,0.456418544,0,1500,0.64587955,0.751778771,18.94610058,29.5360227,5.876022277,3,No,No,NA,NA,LC,NA,1,1,1,10,NA
368,Balionycteris_maculata,NA,NA,Balionycteris,524241,0,44725368,46892394,0.96496692,0.95378726,0.95378726,0,9000,0.953763058,0.999992977,0.002420238,4.620571646,0.003122567,2,No,No,NA,NA,NA,NA,NA,NA,NA,NA,Indomalayan
369,Bandicota_bengalensis,RODENTIA,MURIDAE,Bandicota,0,5401049,347139175,356291885,0.98947026,0.98947026,0.974311203,0,3500,0.98309504,0.989470683,0.878383716,1.515947984,0.174548026,7,No,No,NA,0.913973446,LC,NA,NA,NA,NA,NA,Multi
370,Bandicota_indica,RODENTIA,MURIDAE,Bandicota,0,159727401,252052797,471607697,0.873141386,0.873141386,0.534454375,0,1500,0.553987059,0.931825846,1.953268403,39.7371471,4.864146983,7,No,No,NA,0.882478033,LC,NA,NA,NA,NA,NA,Multi
371,Bandicota_savilei,RODENTIA,MURIDAE,Bandicota,542270,33544815,34735306,74521111,0.923528784,0.916252054,0.466113636,0,9000,0.466140347,0.999991161,0.000883935,53.38596534,0,3,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Indomalayan
372,Barbastella_barbastellus,CHIROPTERA,VESPERTILIONIDAE,Barbastella,13381716,222015263,206779319,456736002,0.968122276,0.938823697,0.45273269,0,2260,0.455401654,0.983699128,0.266896363,53.09664375,1.363190845,3,No,No,NA,0.651969577,NT,NA,1,1,1,17,Palearctic
373,Barbastella_leucomelas,CHIROPTERA,VESPERTILIONIDAE,Barbastella,0,126049805,128701511,390179053,0.652908745,0.652908745,0.329852436,0,2500,0.505279614,0.652892334,17.54271786,32.30398985,17.16804872,4,No,No,NA,0.683719879,LC,NA,NA,NA,NA,NA,Multi
374,Bassaricyon_alleni,CARNIVORA,PROCYONIDAE,Bassaricyon,0,12224,333699160,369524448,0.903083371,0.903083371,0.90305029,0,2000,0.914029979,0.986113587,1.097968869,8.306329646,0.290672465,1,No,No,NA,0.735365092,LC,NA,NA,NA,NA,NA,Neotropic
375,Bassaricyon_gabbii,CARNIVORA,PROCYONIDAE,Bassaricyon,0,48281,7446044,13066171,0.573567038,0.573567038,0.569871923,0,1700,0.603309232,0.963525703,3.343730894,39.36537792,0.303698836,1,No,No,NA,0.725111604,LC,NA,NA,NA,NA,NA,Neotropic
376,Bassaricyon_medius,CARNIVORA,PROCYONIDAE,Bassaricyon,0,7951,12280401,14907436,0.82431023,0.82431023,0.823776872,0,1800,0.837282342,0.98279355,1.350546944,15.90166783,0.370098008,1,No,No,NA,NA,LC,NA,NA,NA,NA,NA,NA
377,Bassaricyon_neblina,CARNIVORA,PROCYONIDAE,Bassaricyon,0,78,4715638,9942294,0.474308645,0.474308645,0.4743008,1500,2800,0.812212312,0.536469885,33.79115121,6.216908468,12.5618603,1,No,No,NA,0.387877605,NT,NA,NA,NA,NA,NA,Neotropic
378,Bassariscus_astutus,CARNIVORA,PROCYONIDAE,Bassariscus,0,4910180,368304058,376868261,0.990304243,0.990304243,0.97727534,0,2900,0.986338649,0.990302619,0.906330895,1.302727908,0.063407172,5,No,No,NA,0.870062234,LC,NA,0.957575758,0.957575758,0.957575758,165,Multi
379,Bassariscus_sumichrasti,CARNIVORA,PROCYONIDAE,Bassariscus,0,494198,34008194,53354185,0.646667023,0.646667023,0.637404432,0,2000,0.681940031,0.949938267,4.453559858,31.25338348,0.552613435,1,No,No,NA,0.735365092,LC,NA,NA,NA,NA,NA,Neotropic
380,Bathyergus_janetta,RODENTIA,BATHYERGIDAE,Bathyergus,689,403591,729011,1135503,0.998051965,0.997445185,0.642015917,0,1350,0.642345241,0.999937862,0.006213839,35.76547591,0,1,No,No,NA,0.393915022,LC,NA,NA,NA,NA,NA,Afrotropic
381,Bathyergus_suillus,RODENTIA,BATHYERGIDAE,Bathyergus,16468,962130,1842986,4319782,0.653177406,0.649365176,0.426638659,0,300,0.467339292,0.727327021,4.070063325,30.06883619,23.19723458,2,No,No,NA,0.431537874,LC,NA,1,1,0.888888889,27,Afrotropic
382,Batomys_dentatus,RODENTIA,MURIDAE,Batomys,0,0,34862,39089,0.891862161,0.891862161,0.891862161,0,9000,0.890136327,1,0,10.98636728,0,1,No,No,NA,NA,DD,NA,NA,NA,NA,NA,Indomalayan
383,Batomys_granti,NA,NA,Batomys,43,0,134777,449561,0.299892562,0.299796913,0.299796913,1650,2600,0.960524709,0.31144138,66.07277961,1.164446716,2.783082371,2,No,No,NA,NA,NA,NA,NA,NA,NA,NA,Indomalayan
384,Batomys_hamiguitan,RODENTIA,MURIDAE,Batomys,0,0,1338,3952,0.338562753,0.338562753,0.338562753,950,1128,1,0.349802372,65.01976285,0,0,1,No,No,NA,0.418372255,DD,NA,NA,NA,NA,NA,Indomalayan
385,Batomys_russatus,RODENTIA,MURIDAE,Batomys,0,0,60801,65586,0.927042357,0.927042357,0.927042357,0,9000,0.928888889,1,0,7.111111111,0,1,No,No,NA,NA,EN,NA,NA,NA,NA,NA,Indomalayan
386,Batomys_salomonseni,RODENTIA,MURIDAE,Batomys,0,0,102465,1324856,0.077340481,0.077340481,0.077340481,1200,2400,0.79056872,0.082885071,71.32282396,0.554459031,20.38866893,1,No,No,NA,0.406547654,LC,NA,NA,NA,NA,NA,Indomalayan
387,Batomys_uragon,RODENTIA,MURIDAE,Batomys,0,0,1287,5639,0.228231956,0.228231956,0.228231956,1350,1800,1,0.222067039,77.79329609,0,0,1,No,No,NA,0.344326157,LC,NA,NA,NA,NA,NA,Indomalayan
388,Bauerus_dubiaquercus,CHIROPTERA,VESPERTILIONIDAE,Bauerus,2639700,94238,10799086,22826684,0.59285983,0.477218855,0.473090441,100,2300,0.680250091,0.593886239,20.71596502,12.07957984,19.89541104,2,No,No,NA,0.641086905,NT,NA,NA,NA,NA,NA,Neotropic
389,Bdeogale_crassicauda,CARNIVORA,HERPESTIDAE,Bdeogale,437011,19870380,82660655,126593563,0.813375053,0.809922974,0.652960965,230,1850,0.786150726,0.844189948,13.3189761,19.12289838,2.262029065,3,No,No,NA,0.766891305,LC,NA,NA,NA,NA,NA,Afrotropic
390,Bdeogale_jacksoni,CARNIVORA,HERPESTIDAE,Bdeogale,0,18482,1251123,5281843,0.24037159,0.24037159,0.236872433,300,3300,0.243861267,0.978951854,0.698883403,74.20794211,1.405931228,1,No,No,NA,0.666406945,NT,NA,NA,NA,NA,NA,Afrotropic
391,Bdeogale_nigripes,CARNIVORA,HERPESTIDAE,Bdeogale,0,8358353,141562169,174435428,0.859461428,0.859461428,0.811544826,0,1000,0.846462079,0.944876455,3.491725328,13.33316295,2.020629163,1,No,No,NA,0.649376775,LC,NA,NA,NA,NA,NA,Afrotropic
392,Bdeogale_omnivora,CARNIVORA,HERPESTIDAE,Bdeogale,0,9086,1754770,2340629,0.75358205,0.75358205,0.749700187,0,1850,0.749027107,1,0,25.0972893,0,1,No,No,NA,NA,VU,NA,NA,NA,NA,NA,NA
393,Beamys_hindei,RODENTIA,NESOMYIDAE,Beamys,0,2878312,15383666,28271127,0.645958614,0.645958614,0.544147603,0,2100,0.548966441,0.990528816,0.481883746,44.63812126,0.465234667,1,No,No,NA,0.589245087,LC,NA,NA,NA,NA,NA,Afrotropic
394,Beatragus_hunteri,CETARTIODACTYLA,BOVIDAE,Beatragus,91,72457,800956,873598,0.999892399,0.999788232,0.916847337,0,9000,0.916848426,1,0,8.31515739,0,3,No,No,NA,NA,CR,NA,NA,NA,NA,NA,Afrotropic
395,Belomys_pearsonii,RODENTIA,SCIURIDAE,Belomys,0,52864,18279255,47567941,0.385388113,0.385388113,0.384276776,800,2400,0.719633498,0.483487623,33.53567221,9.92108467,18.11556554,1,No,No,NA,NA,DD,NA,NA,NA,NA,NA,NA
396,Berylmys_berdmorei,RODENTIA,MURIDAE,Berylmys,0,4183,32586973,56884480,0.572935817,0.572935817,0.572862282,200,2000,0.675315136,0.689415266,10.24528545,11.65529845,20.81318795,1,No,No,NA,0.652576888,LC,NA,NA,NA,NA,NA,Indomalayan
397,Berylmys_bowersi,RODENTIA,MURIDAE,Berylmys,179267,1249596,90832333,229232419,0.402478831,0.401696799,0.396245581,600,1800,0.964334953,0.402495981,56.80893727,0.625040016,2.941464638,3,No,No,NA,0.517826228,LC,NA,NA,NA,NA,NA,Multi
398,Berylmys_mackenziei,RODENTIA,MURIDAE,Berylmys,0,6701,3484911,9206964,0.379235978,0.379235978,0.37850816,1000,3000,0.913253104,0.391543598,53.47449447,1.303543817,7.371145743,1,No,No,NA,0.304351311,DD,NA,NA,NA,NA,NA,Multi
399,Berylmys_manipulus,RODENTIA,MURIDAE,Berylmys,96587,12580,16019497,19515469,0.826455362,0.821506109,0.820861492,80,1650,0.990369168,0.82991678,16.95076759,0.905528754,0.057554463,3,No,No,NA,0.647003308,DD,NA,NA,NA,NA,NA,Multi
400,Bettongia_gaimardi,DIPROTODONTIA,POTOROIDAE,Bettongia,0,76518,1918837,3181706,0.627133682,0.627133682,0.60308432,0,1000,0.624445168,0.947996193,2.136084761,34.49118724,3.064295977,1,No,No,NA,0.602102023,NT,NA,NA,NA,NA,NA,Australasia
401,Bettongia_lesueur,DIPROTODONTIA,POTOROIDAE,Bettongia,66,14320,70986,85629,0.99699868,0.996227913,0.82899485,0,9000,0.829709148,1,0,17.02908524,0,4,No,No,NA,NA,NT,NA,NA,NA,NA,NA,Australasia
402,Bettongia_penicillata,DIPROTODONTIA,POTOROIDAE,Bettongia,16,114615,274436,389871,0.997937779,0.99789674,0.703914885,0,9000,0.702584908,0.999879491,0.132997635,29.59646068,0.14504849,2,No,No,NA,NA,CR,NA,NA,NA,NA,NA,Australasia
403,Bettongia_tropica,DIPROTODONTIA,POTOROIDAE,Bettongia,0,405,7772,27376,0.298692285,0.298692285,0.283898305,800,1200,0.859799714,0.299856938,57.59014088,1.59586334,12.42416527,1,No,No,NA,0.39807222,EN,NA,NA,NA,NA,NA,Australasia
404,Bibimys_chacoensis,RODENTIA,CRICETIDAE,Bibimys,28075,0,563538,2583352,0.229009829,0.218142166,0.218142166,0,9000,0.21759099,1,0,78.24090095,0,2,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Neotropic
405,Bibimys_labiosus,RODENTIA,CRICETIDAE,Bibimys,0,63313,19168556,32507292,0.591617075,0.591617075,0.589669419,0,9000,0.589710077,1,0,41.02899234,0,1,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Neotropic
